State,IHE,Program Title,Level of Degree,Format,Alternate Route to Certification,Category of Credentialling,URL for Program
Alabama,Auburn University,Bachelor of Science in Early Childhood/Elementary Special Education,Bachelors,In Person,No,ECSE,https://education.auburn.edu/degree-certificate/b-s-in-early-childhoodelementary-special-education/
Alabama,Auburn University at Montgomery,Bachelor of Science in Special Education - Early Childhood Special Education (birth-age 8),Bachelors,In Person,No,ECSE,https://www.aum.edu/special-education/
Alabama,Samford University,Early Childhood/Special Education/Elementary/Collaborative (ESEC) Major (B.S.E.),Bachelors,In Person,No,Dual,https://www.samford.edu/education/early-special-and-elementary-education#introduction
Alabama,The University of Alabama,Bachelors Early Childhood Special Education,Bachelors,In Person,No,ECSE,https://education.ua.edu/departments/special-education/early-childhood-special-education/
Alabama,The University of Alabama Huntsville,B.A. in Early Childhood and Early Childhood Special Education (P-3),Bachelors,In Person,No,Dual,https://www.uah.edu/education/departments/curriculum-and-instruction/undergraduate-programs
Alabama,Auburn University,Early Childhood/Elementary Special Education: P–6 — MEd/MS,Masters,Hybrid,No,ECSE,https://bulletin.auburn.edu/thegraduateschool/graduatedegreesoffered/specialeducationrehabilitationandcounseling_major/specialeducationearlychildhood/
Alabama,Auburn University,Early Childhood/Elementary Special Education: P–6 — MEd/MS - Alternate Route Option,Masters,Hybrid,Yes,ECSE,https://bulletin.auburn.edu/thegraduateschool/graduatedegreesoffered/specialeducationrehabilitationandcounseling_major/specialeducationearlychildhood/
Alabama,Auburn University at Montgomery,Alternative Master’s in Early Childhood Special Education,Masters,Hybrid,Yes,ECSE,https://www.aum.edu/degree/masters-eds-collaborative-teaching/
Alabama,Auburn University at Montgomery,Traditional Master’s in Early Childhood Special Education,Masters,Hybrid,No,ECSE,https://www.aum.edu/degree/masters-eds-collaborative-teaching/
Alabama,Jacksonville State University,MSE in Early Childhood Special Education P-3,Masters,Online,No,ECSE,https://www.jsu.edu/degrees/graduate/education/curriculum-and-instruction/early-childhood-special-education.html
Alabama,The University of Alabama,MA in Special Education [certification in early childhood special education (Pre-K-3rd grade: special education],Masters,In Person,No,ECSE,https://online.ua.edu/degrees/ma-in-special-education/
Alabama,The University of Alabama,"MA Special Education (Early Childhood Special Education cert.) Traditional Early Childhood Special Education (P-3), Class A",Masters,In Person,No,ECSE,https://online.ua.edu/degrees/ma-in-special-education/
Alabama,The University of Alabama at Birmingham,Alternative Master of Arts in Education in Special Education with Early Childhood Special Education Concentration,Masters,In Person,Yes,ECSE,https://www.uab.edu/education/home/graduate/special-education/alt-maed-special-education-early-childhood-special-education-concentration
